City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,dikson,73.5069,80.5464,1.1299999999999955,97,100,7.11,RU,1685202343
1,martinsicuro,42.8811,13.9145,23.82000000000005,75,5,4.97,IT,1685202344
2,pathein,16.7833,94.7333,28.060000000000002,80,76,3.52,MM,1685202345
3,busselton,-33.65,115.3333,14.25,73,47,0.47,AU,1685202347
4,salalah,17.0151,54.0924,30.05000000000001,79,40,5.14,OM,1685202348
5,qaanaaq,77.484,-69.3632,-5.5499999999999545,74,94,1.42,GL,1685202348
6,ilulissat,69.2167,-51.1,1.0100000000000477,93,75,4.63,GL,1685202349
7,shache,38.4167,77.2406,22.060000000000002,24,100,4.85,CN,1685202351
8,hilo,19.7297,-155.09,19.850000000000023,92,100,2.57,US,1685202183
9,torbay,47.6666,-52.7314,8.82000000000005,80,75,8.75,CA,1685202353
10,vaini,-21.2,-175.2,21.090000000000032,94,20,2.06,TO,1685202354
11,otta,61.7712,9.5353,13.450000000000045,68,100,4.22,NO,1685202356
12,guinticgan,11.5641,123.1236,27.27000000000004,81,100,4.04,PH,1685202357
13,piney green,34.716,-77.3202,17.170000000000016,95,100,8.23,US,1685202358
14,sitka,57.0531,-135.33,8.939999999999998,71,100,5.66,US,1685202359
15,bluff,-46.6,168.3333,7.890000000000043,80,2,4.46,NZ,1685202360
16,provideniya,64.3833,-173.3,2.990000000000009,95,100,3.8,RU,1685202362
17,nicholasville,37.8806,-84.573,21.980000000000018,47,0,3.6,US,1685202363
18,rocha,-34.4833,-54.3333,16.82000000000005,41,87,7.85,UY,1685202364
19,khatanga,71.9667,102.5,6.270000000000039,79,70,6.79,RU,1685202365
20,new norfolk,-42.7826,147.0587,12.730000000000018,69,97,0.45,AU,1685202366
21,arraial do cabo,-22.9661,-42.0278,26.980000000000018,54,0,8.23,BR,1685202367
22,ammon,43.4696,-111.9666,14.180000000000007,76,75,1.54,US,1685202368
23,shelopugino,51.6514,117.5599,2.840000000000032,86,38,1.14,RU,1685202369
24,bethel,41.3712,-73.414,24.939999999999998,40,0,0.89,US,1685202370
25,bosaso,11.2842,49.1816,31.480000000000018,64,95,2.81,SO,1685202371
26,atambua,-9.1061,124.8925,20.07000000000005,83,59,2.56,ID,1685202372
27,alice springs,-23.7,133.8833,3.75,70,13,3.47,AU,1685202175
28,ocosingo,17.0667,-92.25,26.129999999999995,44,96,1.45,MX,1685202374
29,launceston,-41.45,147.1667,11.800000000000011,88,75,7.2,AU,1685202375
30,ahipara,-35.1667,173.1667,16.57000000000005,87,81,6.49,NZ,1685202376
31,punta arenas,-53.15,-70.9167,5.060000000000002,75,75,12.86,CL,1685202324
32,hermanus,-34.4187,19.2345,13.220000000000027,60,5,4.04,ZA,1685202380
33,paamiut,61.994,-49.6678,1.5100000000000477,82,100,3.54,GL,1685202381
34,rikitea,-23.1203,-134.9692,23.710000000000036,80,24,6.68,PF,1685202382
35,ushuaia,-54.8,-68.3,5.7900000000000205,75,75,14.92,AR,1685202383
36,samastipur,25.85,85.7833,33.30000000000001,33,1,0.47,IN,1685202384
37,bandarbeyla,9.4942,50.8122,28.189999999999998,77,50,10.2,SO,1685202385
